word;clean
1jam;1 jam
1juta;1 juta
20hari;20 hari
2info;info
3x;3 kali
5aja;5 aja
5menit;5 menit
ad;ada
afkbilangnya;afk bilangnya
agk;agak
ampe;sampai
an;dan
and;dan
apakantolong;apa apa tolong
apatujuan;apa tujuan
apk;aplikasi
aplikadi;aplikasi
aplikas;aplikasi
aplikasidi;aplikasi
aplikasiga;apalikasi
app;aplikasi
applikasi;aplikasi
applikasinya;aplikasinya
applykasi;aplikasi
appnya;aplikasi
apps;aplikasi
appsnya;aplikasi
appsstore;appstore
asliii;asli
assuransi;asuransi
asuransiini;asuransi ini
ati2;hati hati
baguss;bagus
baik2;baik baik
bales;balas
bangeeet;banget
bangetlah;banget
bantujagamasadepan;bantu jaga masa depan
banyaak;banyak
bapuk;buruk
because;karena
benarbenar;benar
bener;benar
bener2;benar
beresgagal;beres gagal
berjam2;lama
berkali2;berulang-ulang
berkalikali;berulang-ulang
bermasalahanda;bermasalah anda
bermasalahtdk;bermasalah tidak
bgt;banget
blm;belum
blom;belum
bloon;bodoh
bnget;banget
bngt;banget
bnyk;banyak
br;baru
bru;baru
bs;bisa
bsa;bisa
buaguss;bagus
buangbuang;buang buang
bugs;bug
bugsnya;bug
bypass;melewati
cant;tidak bisa
cb;coba
close;tertutup
closed;tertutup
closedtiba2;tertutup tiba tiba
cm;cuma
cmn;cuma
csnya;cs
csra;cs
d;di
dafar;daftar
dah;sudah
dapet;dapat
daptar;daftar
dg;dengan
dganti;diganti
dgn;dengan
dgtar;daftar
diacc;di acc
dibenhi;dibenahi
diinstal;di install
diinstall;di install
diisi;di isi
dikirim2;dikirim
dikirimin;dikirimin
diperbaharuierror;di perbaharui error
diperbaikki;diperbaiki
direjec;ditolak
disuru;disuruh
ditupu;ditipu
diuldate;diupdate
dll;dan lain lain
dlm;dalam
dlu;dulu
dokternyat;dokternya
dokteronline;dokter online
donk;dong
donload;download
donlowd;download
donwload;download
dowload;download
download;download
dpt;dapat
dr;dari
dri;dari
dsruh;disuruh
dtg;datang
dtolak;ditolak
dukcatpil;dukcapil
eclim;e claim
emg;emang
emk;emang
enggak;tidak
eror;error
erorr;error
errror;error
even;event
ewalet;ewallet
feature;features
fitaja;fit aja
fitmigrasi;fit aja migrasi
g;tidak
ga;tidak
gabisa;tidak bisa
gabisa2;tidak bisa
gag;tidak
gak;tidak
gaktau;tidak tahu
gbisa;tidak bisa
gbs;tidak bisa
gede;besar
gede2;besar
gilaa;gila
gimna;gimana
ginimksh;gini makasih
gj;tidak jelas
gk;tidak
gmn;gimana
gmpg;gampang
gua;saya
gx;tidak
halodc;halodoc
hapis;hapus
helpful;menolong
helpfull;menolong
helps;tolong
hilanghilang;hilang
hoak;hoax
hrs;harus
hublangsung;hubungi lansung
hubungin;hubungi
infonomor;info nomor
inimah;ini mah
inu;ini
is;isi
it;itu
jagasehatjadisingkat;jaga sehat jadi singkat
jd;jadi
jg;juga
jga;juga
jgn;jangan
jlas;jelas
jls;jelas
jos;baik
jostapi;baik tapi
k;ke
kacamatalensa;kacamata lensa
kadanh;kadang
kagak;tidak
kasi;kasih
kawan2;kawan kawan
kbanyakan;kebanyakan
kek;seperti
keluartidak;keluar tidak
kemaren;kemarin
kenapa2;kenapa kenapa
kereen;keren
kerjaa;kerja
ketentuanudh;ketentuan sudah
ketik2;ketik
kl;kalau
klaimitu;klaim itu
klaimtapi;klaim tapi
klik24;klik 24
klilk;klik
klinikpun;klinik
klo;kalau
kmaren;kemarin
knapa;kenapa kenapa
knp;kenapa
ko;kok
krn;karena
krna;karena
ksh;kasih
kudu;harus
kyk;kayak
kyny;kayaknya
lagii;lagi
lahh;lah
lambatlemot;lambat lemot
lbh;lebih
lengkapapa;lengkap apa
lg;lagi
lha;lah
liat;lihat
loginnnya;loginnya
lola;lambat lemot
macem;macam
make;memakai
maks;maksimal
managak;mana tidak
mantaap;mantap
mantab;mantap
mantap;mantap
mantapp;mantap
mantappo;mantap
mantapsesuai;mantap sesuai
masak;masa
maslaah;masalah
masuk2;masuk
matii;mati
maumu;mau
max;maksimal
mb;mbak
mbaknya;mbak
menghubungan;menghubungkan
mingguk0cak;minggu kocak
mintak;minta
mlh;malah
mnta;minta
mntap;mantap
msh;masih
muncuk;muncul
muncul2;muncul
muteeeeer;berputar
nasiibbbbbb;nasip
nda;tidak
neh;aneh
ngak;tidak
ngg;tidak
ngga;tidak
nggak;tidak
nggk;tidak
ngisi;berisi
nnti;nanti
no;nomor
nohp;nomor hape
ny;nya
ok;ok
okay;ok
oke;ok
onlen;online
orangorang;orang
org;orang
padalah;padahal
pake;pakai
pakek;pakai
payah;payah
payahhh;payah
payahhhhh;payah
pdahal;padahal
pdfpdahal;pdf padahal
pdhal;padahal
pokonya;pokoknya
polisno;polis nomor
produk2;produk
putihtidak;putih tidak
referal;referral
refresh;refresh
registar;registrasi
register;registrasi
rscoba;rs coba
sajaadminnya;saja adminnya
sakitbutuh;sakit butuh
sambungin;sambung
samgat;sangat
sampai;sampai
sampe;sampai
sangat2;sangat
sangatlah;sangat
satusatu;satu satu
sdh;sudah
sebell;sebel
sekaliiiiii;sekali
semogga;semoga
senangsekali;senang sekali
skg;sekarang
slalu;selalu
slh;salah
sllu;selalu
sm;sama
smg;semoga
sy;saya
sya;saya
taii;tai
tak;tidak
tdk;tidak
terbaikcepat;terbaik cepat
terbaikk;terbaik
terus2an;terus
teruscs;terus cs
teruss;terus
terusverifikasi;terverifikasi
teruus;terus
teruuuuuus;terus
tetap;tetap
tololmasa;tolol masa
tololobat;tolol obat
tp;tapi
tpi;tapi
trnyt;ternyata
trs;terus
trus;terus
uda;sudah
udah;sudah
udh;sudah
ulang;mba
unduh;terus tidak bisa
unggahan;kayaknya
uninstal;kawan kawan
uninstall;tulisan
unruk;untuk
update2;update
updated;update
updatedownload;update
updetan;update
uplod;upload
utk;untuk
veritifikasi;verifikasi
versi;version
welldesigned;well designed
yg;yang
